국가명,2021년,2022년,2023년,2024년,2025년
과테말라,418,0,0,0,0
나이지리아,67,38,0,49,167
남아프리카공화국,0,46,177,521,248
네팔,10,0,0,38,127
대한민국,0,48,60,80,0
덴마크,84,97,113,0,0
독일,665,813,791,790,1435
동티모르,,,,,158
라오스,471,617,738,975,989
라트비아,383,160,433,195,198
러시아,7557,8899,7750,6032,22410
루마니아,1201,917,1051,861,905
룩셈부르크,0,71,1417,1580,360
리투아니아,654,652,528,558,592
마다가스카르,183,335,423,389,440
말라위,0,0,36,159,189
말레이시아,703,850,1092,1034,1130
멕시코,277,312,405,669,769
모로코,45,150,352,219,0
몽골,3816,4052,4343,3196,2420
미국,3820,4556,4911,6088,7974
미얀마,381,302,229,174,153
바레인,623,486,360,533,584
방글라데시,0,272,555,718,79
베트남,10333,18105,20251,17907,17821
벨기에,713,1384,2606,1991,1099
벨라루스,257,182,0,0,0
보츠와나,43,116,147,19,81
볼리비아,53,446,669,710,0
불가리아,487,914,891,305,347
브라질,1672,1160,1278,1739,1416
사우디아라비아,0,84,241,457,458
세르비아,586,577,282,168,132
스리랑카,893,1119,0,0,0
스웨덴,94,173,278,441,491
스페인,466,740,758,677,594
슬로바키아,33,123,146,173,172
슬로베니아,27,74,33,145,228
아랍에미리트,569,348,565,1062,486
아르헨티나,884,409,346,378,451
아이슬란드,0,0,42,55,50
아이티,0,50,356,51,0
아제르바이잔,366,950,535,641,550
알제리,198,181,0,0,0
에스와티니,598,1765,3375,431,532
에스토니아,816,900,806,494,446
에콰도르,1288,439,328,466,623
엘살바도르,406,618,337,398,388
영국,537,4822,1132,974,1231
오스트리아,0,0,59,296,369
요르단,220,309,228,269,329
우간다,91,152,189,222,288
우루과이,119,76,121,154,339
우즈베키스탄,1873,4744,5869,7931,6308
우크라이나,878,516,370,393,411
이란,1305,1535,966,369,509
이집트,904,1722,2436,1040,1097
이탈리아,1023,1218,1517,1142,821
인도,1722,9696,7461,9192,3329
인도네시아,4739,5658,5120,5034,3903
일본,424,837,819,952,1017
중국,6687,8429,10419,7427,8357
체코,247,142,153,174,246
칠레,418,713,726,723,446
카자흐스탄,1083,1017,1001,1481,1320
캄보디아,252,568,560,1134,735
캐나다,687,816,1368,1706,1610
케냐,351,446,488,652,654
코트디부아르,0,0,20,95,96
콜롬비아,2158,1640,6027,881,1700
쿠바,0,0,0,208,287
쿠웨이트,0,0,84,236,18
크로아티아,114,235,268,401,458
키르기스스탄,3467,4252,4149,3158,3172
타지키스탄,423,689,1226,1214,1164
탄자니아,38,146,179,419,216
태국,1905,2246,2392,2314,2597
투르크메니스탄,327,573,586,618,798
튀니지,0,37,385,212,381
튀르키예,2114,1961,2627,1276,1220
파키스탄,262,431,292,252,164
팔레스타인,24,73,35,0,0
페루,0,0,21,374,304
포르투갈,493,616,607,628,620
폴란드,542,620,829,698,463
프랑스,834,2092,2734,2240,1757
핀란드,0,31,439,238,1518
필리핀,2254,2192,1940,2541,2659
헝가리,678,987,1271,2386,1739
호주,143,869,747,1007,1085
